zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60131,3.719,2.6937,3.3824,4.5361,6.7568,3.3104,0.6535,2.901,2.5372,0.6607,1.4698,1.0565
60134,0.9621,7.534,2.5357,1.4924,4.4136,6.3089,3.4004,8.2814,6.2979,1.2605,6.3823,2.9552
60135,9.9011,19.9405,18.6188,0.6736,4.8679,2.6738,7.1263,13.4444,9.1204,12.0977,15.9257,16.5263
60137,2.9444,1.2887,6.6359,3.945,9.9789,3.9873,1.5455,3.4159,1.8528,0.5617,1.516,2.0748
60139,2.459,4.1761,6.8099,2.6425,7.3827,5.8045,0.5812,0.6436,0.8578,1.1352,3.3171,0.7219
60140,8.798,10.9681,13.0463,4.6347,5.7062,1.2498,3.227,12.0927,10.0212,9.2887,17.0971,13.379
60141,0.354,1.8836,0.0933,2.3462,11.6319,2.8397,0.4428,2.7398,2.6376,1.7272,2.5164,2.4555
60142,5.8448,10.5337,6.7934,2.8104,5.6375,4.5957,2.4117,6.9037,6.9094,5.3368,11.403,6.0795
60143,2.1233,5.7023,2.3137,1.1604,4.3391,2.5615,2.1631,2.2725,3.015,0.6419,1.3189,1.8698
60146,12.0322,13.2842,12.385,2.8749,8.5466,9.0428,9.7823,14.96,7.9254,16.4893,22.8689,25.8943
60148,2.1561,3.626,4.8871,3.1541,10.7755,2.5135,1.3116,3.228,0.4077,1.1598,0.6935,1.5339
60151,7.7445,16.6976,12.8197,0.5582,2.7364,2.2209,5.171,7.8315,7.9919,6.9209,13.7052,12.2216
60152,11.9257,20.2341,14.7025,1.6525,2.321,2.5886,8.2779,15.2102,8.4087,3.1312,7.0448,10.3233
60153,0.937,0.4589,0.9728,2.3048,10.331,1.3438,0.5453,3.9375,3.7684,0.6463,2.2574,2.5835
60154,1.5525,3.6273,1.5839,3.1116,12.8745,4.0894,0.6649,5.0957,4.8715,0.9982,4.1154,2.6112
60155,0.8425,2.093,0.7886,2.4715,11.8694,2.8017,1.3561,3.5485,3.3996,1.4818,3.3645,2.3418
60157,1.8919,5.4587,3.0116,1.1996,3.6003,1.8598,1.477,1.9245,3.5869,0.819,1.1782,2.0512
60160,1.0629,1.2276,1.016,2.5657,8.7211,0.6813,0.7072,3.4383,3.4972,0.4146,0.953,1.5081
60162,1.6523,2.4156,1.7089,2.3735,11.6888,3.405,2.0371,5.9925,3.3848,0.2861,2.763,2.3722
60163,2.6403,1.5063,2.6897,2.1412,10.4284,3.0962,2.4005,5.7983,1.9083,1.2662,1.4834,1.3108
60164,3.2563,1.5075,2.2224,3.6536,8.4395,2.9256,1.2246,4.2396,1.4204,0.3675,0.7994,0.5503
60165,1.8836,0.2873,1.8363,3.5967,9.0113,1.6091,1.4006,4.0759,2.5015,0.0611,0.7305,0.6846
60171,2.2856,2.75,2.2668,2.1085,7.1653,1.9615,0.8484,1.6607,2.1232,0.6158,1.1305,1.4096
60172,1.762,5.5361,4.0289,2.6393,3.4022,2.389,0.4918,3.0788,3.1024,1.2487,1.0954,1.3354
60173,0.3014,0.2737,0.3275,2.9359,1.9265,1.8132,0.5376,5.5857,1.3048,1.8122,5.9421,1.8849
60174,0.7622,9.9109,1.4956,1.3454,4.6097,3.6085,0.4584,7.062,5.9274,1.7066,10.201,1.6283
